iter	RMSE
0	3.06988946
1	2.982867728
2	2.89922254
3	2.821193413
4	2.749371315
5	2.681132703
6	2.61876455
7	2.558672664
8	2.503102683
9	2.452553819
10	2.405677945
11	2.362425643
12	2.31959626
13	2.281483625
14	2.246140089
15	2.212950544
16	2.182009757
17	2.152865856
18	2.127156573
19	2.102362825
20	2.080107909
21	2.057733563
22	2.038295083
23	2.020932249
24	2.003467926
25	1.98835231
26	1.973159757
27	1.960081375
28	1.947455167
29	1.9362943
30	1.925620714
31	1.914764377
32	1.905553789
33	1.89595617
34	1.888166889
35	1.880457351
36	1.873240636
37	1.865473704
38	1.859472213
39	1.853077659
40	1.847208393
41	1.841989446
42	1.836232711
43	1.830530935
44	1.825098509
45	1.820312815
46	1.815834085
47	1.811706272
48	1.807169804
49	1.803793067
50	1.800825187
51	1.796955503
52	1.793452867
53	1.789804781
54	1.786721292
55	1.782667828
56	1.779907076
57	1.776244664
58	1.773663298
59	1.770681661
60	1.767759145
61	1.76500374
62	1.761831896
63	1.758934972
64	1.756246436
65	1.753520361
66	1.751155133
67	1.748913714
68	1.746358394
69	1.744082092
70	1.741654692
71	1.739693837
72	1.737687159
73	1.736131176
74	1.734923467
75	1.733000563
76	1.730964096
77	1.729194773
78	1.727160741
79	1.72540319
80	1.723724906
81	1.721863736
82	1.720300236
83	1.719041109
84	1.717669399
85	1.716095847
86	1.714820453
87	1.71325156
88	1.711929659
89	1.71021648
90	1.708664596
91	1.707652844
92	1.706555048
93	1.705320009
94	1.703717542
95	1.701907675
96	1.701018014
97	1.699518996
98	1.698172564
99	1.697121499
100	1.695780057
101	1.694616819
102	1.693372985
103	1.692485323
104	1.69134003
105	1.690336413
106	1.689350302
107	1.687934295
108	1.687128274
109	1.685913669
110	1.684930733
111	1.683807512
112	1.682746948
113	1.681885858
114	1.680779685
115	1.679664315
116	1.678883042
117	1.677627896
118	1.676942482
119	1.676007934
120	1.674997465
121	1.67403279
122	1.673287424
123	1.672454051
124	1.671786225
125	1.671140447
126	1.67028857
127	1.669278629
128	1.668101864
129	1.667112803
130	1.666240115
131	1.665574054
132	1.664533737
133	1.663870623
134	1.663300819
135	1.66214776
136	1.661381641
137	1.660633892
138	1.659688187
139	1.658826843
140	1.658266021
141	1.657338911
142	1.656615443
143	1.655903106
144	1.655096864
145	1.65395332
146	1.653197068
147	1.652410578
148	1.651806971
149	1.651298933
150	1.650715763
151	1.650139125
152	1.649566281
153	1.648744357
154	1.648397952
155	1.64752491
156	1.646874127
157	1.64627996
158	1.645840813
159	1.64536036
160	1.644513216
161	1.644006401
162	1.643445962
163	1.642764796
164	1.642084749
165	1.641661489
166	1.641283408
167	1.6406018
168	1.640188237
169	1.639520115
170	1.638994746
171	1.63833441
172	1.63788293
173	1.637335904
174	1.636884981
175	1.6364579
176	1.636006432
177	1.635538561
178	1.635108764
179	1.63465501
180	1.634290658
181	1.633718673
182	1.633411115
183	1.633061506
184	1.632724651
185	1.632287677
186	1.631771304
187	1.631352739
188	1.630871802
189	1.630389101
190	1.629989808
191	1.629635369
192	1.629063863
193	1.628644241
194	1.628272251
195	1.627887009
196	1.627272273
197	1.626899374
198	1.626515849
199	1.626079233
