iter	Passed	Remaining
0	12	2497
1	24	2399
2	36	2402
3	49	2442
4	61	2398
5	74	2408
6	86	2393
7	99	2377
8	111	2359
9	123	2338
10	135	2326
11	148	2318
12	159	2297
13	171	2281
14	184	2276
15	197	2268
16	209	2255
17	221	2244
18	233	2225
19	246	2214
20	258	2199
21	270	2187
22	282	2171
23	294	2156
24	306	2148
25	319	2136
26	331	2126
27	343	2112
28	355	2097
29	368	2086
30	380	2074
31	392	2061
32	404	2045
33	416	2034
34	428	2018
35	441	2009
36	453	1998
37	466	1989
38	478	1975
39	491	1964
40	503	1952
41	515	1938
42	527	1925
43	539	1911
44	551	1898
45	564	1889
46	577	1878
47	588	1863
48	602	1855
49	613	1840
50	624	1825
51	637	1814
52	650	1803
53	662	1790
54	674	1777
55	686	1764
56	696	1747
57	708	1734
58	720	1722
59	733	1710
60	745	1699
61	757	1685
62	769	1673
63	781	1660
64	793	1647
65	805	1634
66	816	1621
67	829	1610
68	841	1597
69	853	1585
70	865	1572
71	878	1562
72	890	1549
73	902	1536
74	913	1521
75	925	1509
76	937	1497
77	949	1485
78	961	1472
79	973	1460
80	985	1448
81	998	1436
82	1010	1424
83	1022	1412
84	1034	1399
85	1046	1387
86	1057	1374
87	1069	1361
88	1081	1348
89	1092	1335
90	1104	1323
91	1116	1310
92	1127	1296
93	1139	1285
94	1153	1274
95	1167	1264
96	1180	1253
97	1194	1243
98	1208	1232
99	1221	1221
100	1235	1210
101	1248	1199
102	1261	1187
103	1274	1176
104	1287	1164
105	1300	1153
106	1313	1141
107	1326	1130
108	1339	1118
109	1352	1106
110	1364	1093
111	1376	1081
112	1387	1068
113	1399	1055
114	1410	1042
115	1422	1030
116	1434	1017
117	1447	1005
118	1459	993
119	1470	980
120	1502	980
121	1515	969
122	1527	956
123	1540	943
124	1551	930
125	1563	918
126	1575	905
127	1588	893
128	1600	881
129	1612	868
130	1624	855
131	1637	843
132	1649	830
133	1660	818
134	1672	805
135	1684	792
136	1696	780
137	1708	767
138	1721	755
139	1732	742
140	1744	729
141	1756	717
142	1768	704
143	1780	692
144	1792	680
145	1804	667
146	1817	655
147	1829	642
148	1841	630
149	1853	617
150	1865	605
151	1876	592
152	1888	580
153	1900	567
154	1912	555
155	1925	543
156	1938	530
157	1949	518
158	1961	505
159	1973	493
160	1985	481
161	1997	468
162	2008	456
163	2021	443
164	2033	431
165	2045	418
166	2056	406
167	2069	394
168	2081	381
169	2092	369
170	2103	356
171	2115	344
172	2126	331
173	2138	319
174	2149	307
175	2161	294
176	2173	282
177	2185	270
178	2196	257
179	2208	245
180	2220	233
181	2231	220
182	2242	208
183	2253	195
184	2264	183
185	2275	171
186	2288	159
187	2300	146
188	2311	134
189	2323	122
190	2335	110
191	2347	97
192	2358	85
193	2369	73
194	2380	61
195	2391	48
196	2404	36
197	2415	24
198	2426	12
199	2438	0
